"Symbol","Name","Price","Bid","Ask","Change ($)","Change (%)","52wk Hi","52wk Lo","Day Hi","Day Lo","Volume","Market Cap","Sector"
"SBUX","Starbucks","109.38","109.35","109.51","0.11","0.1","112.34","60.9","110.06","108.2","5032450","128773074000","Consumer Discretionary"
"SHOP","Shopify","1155.82","1153.86","1156.71","48.76","4.41","1499.75","334.55","1178.98","1137.02","1108410","141774503034","Information Technology"
"SNAP","Snap","54.48","54.37","54.51","2.2","4.21","73.59","10.85","54.72","53.36","15513265","82187487630","Communication Services"
"SNOW","Snowflake","236.6","236.47","236.85","7.32","3.19","429","205.07","237.59","232.02","2783732","68306420000","Information Technology"
"SPCE","Virgin Galactic Hldgs","30.74","30.65","30.75","0.115","0.38","62.8","12.1","31.743","30.1615","6404024","7283666644","Industrials"
"SPG","Simon Property Group","115.11","112.44","116.33","1.56","1.37","121.92","42.25","115.34","112.63","2767554","37777853401","Real Estate"
"SPOT","Spotify Technology","273.01","272.45","273.34","5.16","1.93","387.44","116","280","270.53","956716","52111731283","Communication Services"
"SPY","SPDR S&P 500","401.21","400.86","401.36","0.57","0.14","398.12","243.9","400.67","398.2","89546532","",""
"SQ","Square","229.76","229.07","229.76","2.455","1.08","283.1898","42.33","236.46","227.57","8894742","104452264281","Information Technology"
"T","AT&T","30.48","30.46","30.48","0.195","0.64","33.24","26.35","30.48","30.03","29854382","217580204899","Communication Services"
"TLRY","Tilray","22.34","22.3","22.36","-0.42","-1.85","67","4.41","23.62","22.15","12440517","3837066749","Health Care"
"TLT","iShares 20+ Year Treasury Bond ETF","137.3","137.3","137.45","-0.21","-0.15","172.25","133.19","137.61","136.3","12596157","",""
"TME","Tencent Music Enter Gr","20.1","20.06","20.12","-0.38","-1.85","32.2481","9.3","21.38","19.76","57318587","33735188006","Communication Services"
"TSEM","Tower Semiconductor","28.92","28.55","29","0.87","3.1","34.45","15.08","28.99","28.39","452292","3118632852","Information Technology"
